IATA,ICAO,Airport
MSA,CZMD,Muskrat Dam
MSE,EGMH,Kent Intl Airport
MSH,OOMA,Masirah AB
MSM,FZCV,Masi-Manimba
MSN,KMSN,Dane County Regional Airport (Truax Field)
MSO,KMSO,Missoula Intl Airport
MSP,KMSP,Minneapolis-St. Paul Intl Airport
MSQ,UMMS,Minsk-2
MSR,LTCK,Mus Airport
MST,EHBK,Maastricht Aachen Airport
MSU,FXMM,Moshoeshoe I Intl
MSX,FCMM,Mossendjo
MSY,KMSY,Louis Armstrong New Orleans Intl Airport
MTA,NZMA,Matamata
MTF,HAMT,Mizan Teferi
MTJ,KMTJ,Montrose Regional Airport
MTR,SKMR,Los Garzones
MTS,FDMS,Matsapha Airport
MTT,MMMT,Minatitlan/Coatzacoalcos National Airport
MTY,MMMY,General Mariano Escobedo Intl Airport
MTZ,LLMZ,Masada Airfield (I. Bar-Yehuda Airfield)
MUA,AGGM,Munda
MUB,FBMN,Maun
MUC,EDDM,Munchen (Franz Josef Strauss)
MUH,HEMM,Mersa Matruh Airport
MUK,NCMK,Akatoka Manava
MUN,SVMT,Maturin Intl
MUR,WBGM,Marudi
MUX,OPMT,Multan Intl Airport
MUY,FCBM,Mouyondzi
MUZ,HTMU,Musoma
MVB,FOON,M'vengue
MVD,SUMU,Carrasco Intl/Gen C L Berisso
MVO,FTTM,Mongo
MVP,SKMU,Fabio A Leon Bentley
MVR,FKKL,Salak
MVV,LFHM,Megeve Airport
MVX,FOGV,Minvoul
MVY,KMVY,Martha's Vineyard Airport
MVZ,FVMV,Masvingo
MWA,KMWA,Williamson County Regional Airport
MWE,HSMR,Merowe
MWN,HTMD,Mwadui
MWQ,VYMW,Magway
MWZ,HTMW,Mwanza
MXI,RPMQ,Imelda R. Marcos Airport (Mati National Airport)
MXJ,DNMN,Minna
MXL,MMML,General Rodolfo S
MXM,FMSR,Morombe
MXN,LFRU,Morlaix - Ploujean Airport
MXP,LIMC,Malpensa Intl Airport
MXT,FMMO,Maintirano
MXX,ESKM,Siljan
MYA,YMRY,Moruya Airport
MYB,FOOY,Mayumba
MYD,HKML,Malindi
MYE,RJTQ,Miyakejima Airport
MYG,MYMM,Mayaguana Airport
MYJ,RJOM,Matsuyama Airport
MYN,OYMB,Marib
MYQ,VOMY,Mysore Airport
MYR,KMYR,Myrtle Beach Intl Airport
MYT,VYMK,Pamti
MYW,HTMT,Mtwara
MYY,WBGR,Miri
MYZ,FWMY,Monkey Bay
MZB,FQMP,Mocimboa Da Praia
MZC,FOOM,Mitzic
MZI,GAMB,Barbe
MZM,LFSF,"Metz - Frescaty Airport,"
MZO,MUMZ,Sierra Maestra Airport
MZR,OAMS,Mazar-I-Sharif
MZT,MMMZ,General Rafael Buelna Intl Airport
MZU,VEMZ,Muzzafarpur Airport
MZX,HAML,Masslo
N/A,VTCR,Chiang Rai Airport
NAA,YNBR,Narrabri Airport
NAE,DBBN,Natitingou
NAG,VANP,Dr. Babasaheb Ambedkar Intl Airport (Mil./Civil)
NAI,SYAN,Annai
NAK,VTUQ,Nakhon Ratchasima Airport
NAL,URMN,Nalchik Airport
NAN,NFFN,Nadi Intl
NAO,ZUNC,Nanchong Airport
NAP,LIRN,Naples Intl Airport (Capodichino Airport)
NAQ,BGQA,Qaanaaq Airport
NAS,MYNN,Nassau Intl Airport
NAT,SBNT,Augusto Severo Intl Airport
NAV,LTAZ,Nevsehir Kapadokya Airport
NAW,VTSC,Narathiwat Airport
NAY,ZBBB,Beijing Nanyuan Airport
NBO,HKJK,Jomo Kenyatta
NCE,LFMN,Nice - Cote d'Azur Airport
NCH,HTNA,Nachingwea
NCL,EGNT,Newcastle Airport
NCS,FANC,Newcastle
NCY,LFLP,Annecy - Haute Savoie Airport
NDB,GQPP,Nouadhibou
NDC,VAND,Shri Guru Gobind Singh Ji Airport
NDE,HKMA,Mandera
NDG,ZYQQ,Qiqihar Airport
NDJ,FTTJ,N'Djamena
NDL,FEFN,N'dele
NDM,HAMN,Mendi
NDU,FYRU,Rundu
NEJ,HANJ,Nejjo
NEK,HANK,Nekemte
NEU,VLSN,Sam Neua
NGA,YYNG,Young Airport
NGB,ZSNB,Ningbo Lishe Intl Airport
NGE,FKKN,N'gaoundere
NGO,RJGG,Chubu Intl Airport (Centrair)
NGS,RJFU,Nagasaki Airport
NGV,FNGI,N'giva
NGX,VNMA,Manang
NHF,HSNW,New Halfa
NIA,GLNA,Nimba-Lamco
NIM,DRRN,Diori Hamani
NIO,FZBI,Nioki
NIT,LFBN,Souche Airport
NIX,GANR,Nioro
NJC,USNN,Nizhnevartovsk Airport
NKC,GQNN,Nouakchott
NKG,ZSNJ,Nanjing Lukou Intl Airport
NKM,RJNA,Nagoya Airport (Komaki)
NKY,FCBY,Yokangassi
NLA,FLND,Ndola
NLD,MMNL,Quetzalcoatl Intl Airport
NLK,YSNF,Norfolk Island Airport
NLO,FZAB,N'dolo
NLP,FANS,Nelspruit
NLV,UKON,Mykolaiv Airport
NMC,MYEN,Norman's Cay Airport
NMS,VYNS,Namsang
NNG,ZGNN,Nanning Wuxu Intl Airport
NNI,FYNA,Namutoni
NNM,ULAM,Naryan-Mar Airport
NNR,EICA,Connemara Regional Airport
NNT,VTCN,Nan Airport
NNY,ZHNY,Nanyang Airport
NOC,EIKN,Knock Intl Airport
NOM,MRNS,Nosara Airport
NOR,BINF,Norofjorour Airport
NOS,FMNN,Fascene
NOU,NWWW,Tontouta
NOV,FNHU,Albano Machado
NOZ,UNWW,Novokuznetsk Spichenkovo Airport
NPE,NZNR,Napier
NPL,NZNP,New Plymouth
NQT,EGBN,Nottingham Airport
NQY,EGDQ,Newquay Cornwall Intl Airport
NRA,YNAR,Narrandera Airport
NRD,EDWY,Norderney
NRK,ESSP,Kungsangen
NRL,EGEN,North Ronaldsay Airport
NRM,GANK,Keibane
NRN,EDLV,Airport Weeze
NRT,RJAA,Narita Intl Airport
NSI,FKYS,Nsimalen
NSK,UOOO,Norilsk Airport
NSN,NZNS,Nelson
NST,VTSN,Cha Ian Airport
NTB,ENNO,Notodden Airport
NTE,LFRS,Nantes Atlantique Airport
NTL,YWLM,Newcastle - Williamtown Airport
NTN,YNTN,Normanton Airport
NTQ,RJNW,Noto Airport
NTT,NFTP,Niuatoputapu
NTY,FAPN,Pilanesberg
NUD,HSNH,El Nahud
NUE,EDDN,Nurnberg
NUU,HKNK,Nakuru
NVA,SKNV,Benito Salas
NVK,ENNK,Narvik Airport
NVS,LFQG,Nevers - Fourchambault Airport
NVT,SBNF,Ministro Victor Konder Intl Airport
NWA,FMCI,Moheli
NWI,EGSH,Norwich Intl Airport
NYE,HKNI,Nyeri
NYI,DGSN,Sunyani
NYK,HKNY,Nanyuki
NYO,ESKN,Skavsta
NYU,VYBG,Bagan
NZE,GUNZ,Konia
OAG,YORG,Orange Airport
OAJ,KOAJ,Albert J. Ellis Airport
OAK,KOAK,Metropolitan Oakland Intl Airport
OAM,NZOU,Oamaru
OAX,MMOX,Xoxocotlan Intl Airport
OBI,EDMO,Sonderflughafen Oberpfaffenhofen
OBO,RJCB,Obihiro Airport (Tokachi-Obihiro)
OBS,LFHO,Aubenas Ardeche meridionale Airport
OBY,BGSC,Scoresbysund Airport
OCC,SECO,Francisco De Orellana
OCV,SKOC,Aguas Claras
ODB,LEBA,Cordoba Airport
ODE,EKOD,Odense Airport
ODS,UKOO,Odessa Airport
ODY,VLOS,Oudomsay
OEM,SMPA,Vincent Faiks
OER,ESNO,Ornskoldsvik
OFI,DIOF,Ouango Fitini
OGG,PHOG,Kahului Airport
OGN,ROYN,Yonaguni Airport
OGO,DIAU,Abengourou
OGR,FTTB,Bongor
OGX,DAUU,Ouargla Airport
OGZ,URMO,Beslan Airport
OHA,NZOH,Ohakea(Military)
OHD,LWOH,Ohrid Airport
OHD,LWOH,Ohrid
OHR,EDXY,Wyk
OIM,RJTO,Oshima Airport
OIR,RJEO,Okushiri Airport
OIT,RJFO,Oita Airport
OKA,ROAH,Naha Airport
OKC,KOKC,Will Rogers World Airport
OKE,RJKB,Okinoerabu Airport
OKF,FYOO,Okaukuejo
OKI,RJNO,Oki Airport
OKJ,RJOB,Okayama Airport
OKN,FOGQ,Okondja
OLA,ENOL,Orland Main Air Station
OLB,LIEO,Olbia - Costa Smeralda Airport
OMA,KOMA,Eppley Airfield
OMB,FOOH,Omboue Hospital
OMC,RPVO,Ormoc Airport
OMD,FYOG,Oranjemund
OME,PAOM,Nome Airport
OMM,OONR,Marmul
OMO,LQMO,Mostar Intl Airport
OMR,LROD,Oradea Intl Airport
OMS,UNOO,Tsentralny Airport
OND,FYOA,Ondangwa
ONJ,RJSR,Odate-Noshiro Airport
ONT,KONT,Ontario Intl Airport
ONX,MPEJ,Enrique Adolfo Jimenez
OOL,YBCG,Gold Coast Airport
OOM,YCOM,Cooma - Snowy Mountains Airport
OPO,LPPR,Francisco Sa Carneiro Airport
ORB,ESOE,Orebro
ORD,KORD,Chicago O'Hare Intl Airport
ORE,LFOJ,Orleans - Bricy Airport
ORF,KORF,Norfolk Intl Airport
ORG,SMZO,Zorg En Hoop
ORH,KORH,Worcester Regional Airport
ORJ,SYOR,Orinduik
ORK,EICK,Cork Intl Airport
ORM,EGBK,Sywell Aerodrome
ORN,DAOO,Ouran - Es Senia Airport
ORP,FBOR,Orapa
ORU,SLOR,Juan Mendoza
ORW,OPOR,Ormara Airport
ORY,LFPO,Paris - Orly Airport
OSD,ESPC,Froson
OSI,LDOS,Osijek Airport
OSK,ESMO,Oskarshamn
OSL,ENGM,Oslo Gardermoen Airport
OSN,RKSO,Osan Ab
OSR,LKMT,Ostrava-Mosnov Intl Airport
OSS,UAFO,Osh
OST,EBOS,Ostend-Bruges Intl Airport
OSW,UWOR,Orsk Airport
OSY,ENNM,Namsos Airport
OTC,FTTL,Berim
OTH,KOTH,Southwest Oregon Regional Airport (was North Bend Municipal)
OTL,GQNB,Boutilimit
OTP,LROP,Bucharest (Henri Coanda) Intl Airport
OTR,MRCC,Coto 47 Airport
OTU,SKOT,Otu
OTZ,PAOT,Ralph Wien Memorial Airport
OUA,DFFD,Ouagadougou
OUD,GMFO,Angads
OUE,FCOU,Ouesso
OUG,DFCC,Ouahigouya
OUH,FAOH,Oudtshoorn
OUI,VLHS,Ban Houeisay
OUL,EFOU,Oulu Airport
OUR,FKKI,Batouri
OUT,FTTS,Bousso
OUZ,GQPZ,Tazadit
OVA,FMSL,Bekily
OVB,UNNT,Novosibirsk Tolmachevo Airport
OVD,LEAS,Asturias Airport
OXB,GGOV,Osvaldo Vieira
OXF,EGTK,Oxford Airport
OXR,KOXR,Oxnard Airport
OYE,FOGO,Oyem
OYL,HKMY,Oda
OZC,RPMO,Labo Airport
OZH,UKDE,Zaporizhzhia Intl Airport
OZZ,GMMZ,Ouarzazate
PAA,VYPA,Hpa-An
PAD,EDLP,Paderborn-Lippstadt
PAF,HUPA,Pakuba
PAG,RPMP,Pagadian Airport
PAH,KPAH,Barkley Regional Airport
PAJ,OPPC,Parachinar Airport
PAL,SKPQ,German Olano Ab
PAN,VTSK,Pattani Airport
PAP,MTPP,Port-Au-Prince Intl
PAS,LGPA,Paros National Airport
PAT,VEPT,Jai Prakash Narayan International Airport
PAU,VYPK,Pauk
PAX,MTPX,Port De Paix
PAZ,MMPA,El Tajin National Airport
PBC,MMPB,Hermanos Serdan Intl Airport
PBD,VAPR,Porbandar Airport
PBE,SKPR,Puerto Berrio
PBH,VQPR,Paro Airport
PBI,KPBI,Palm Beach Intl Airport
PBL,SVPC,Gen. Bartolome Salom
PBM,SMJP,J.A. Pengel Intl
PBN,FNPA,Porto Amboim
PBO,YPBO,Paraburdoo Airport
PBP,MRIA,Punta Islita Airport
PBR,MGPB,Puerto Barrios Airport
PBU,VYPT,Putao
PBZ,FAPG,Plettenberg Bay
PCL,SPCL,David Abenzur Rengifo
PCP,FPPR,Principe
PCR,SKPC,Puerto Carreno
PCW,KPCW,Erie-Ottawa Regional Airport (Carl R. Keller Field)
PDA,SKPD,Obando
PDG,WIPT,Minangkabau Intl Airport
PDL,LPPD,Joao Paulo II Airport
PDP,SULS,Capitan Curbelo Intl
PDS,MMPG,Piedras Negras Intl Airport
PDT,KPDT,Eastern Oregon Regional Airport at Pendleton
PDU,SUPU,Tydeo Larre Borges Intl
PDV,LBPD,Plovdiv Intl Airport
PDX,KPDX,Portland Intl Airport
PED,LKPD,Pardubice Airport
PEE,USPP,Bolshoye Savino Airport
PEG,LIRZ,San Egidio Airport
PEI,SKPE,Matecana
PEK,ZBAA,Beijing Capital Intl Airport
PEM,SPTU,Padre Aldamiz
PEN,WMKP,Penang Intl
PER,YPPH,Perth Intl Airport
PES,ULPB,Besovets Airport
PEU,MHPL,Puerto Lempira
PEW,OPPS,Peshawar Intl Airport
PEZ,UWPP,Penza Airport
PFJ,BIPA,Patreksfjorour Airport
PFN,KPFN,Panama City-Bay County Intl Airport
PFO,LCPH,Paphos Intl Airport
PFR,FZVS,Ilebo
PGA,KPGA,Page Municipal Airport
PGF,LFMP,Perpignan - Rivesaltes Airport
PGH,VIPT,Pantnagar Airport
PGV,KPGV,Pitt-Greenville Airport
PGX,LFBX,Perigueux - Bassillac Airport
PHC,DNPO,Port Harcourt
PHE,YPPD,Port Hedland Intl Airport
PHF,KPHF,Newport News/Williamsburg Intl Airport
PHL,KPHL,Philadelphia Intl Airport
PHS,VTPP,Phitsanulok Airport
PHW,FAPH,Hendrik Van Eck
PHX,KPHX,Phoenix Sky Harbor Intl Airport
PIA,KPIA,Greater Peoria Regional Airport
PIB,KPIB,Hattiesburg-Laurel Regional Airport
PID,MYPI,New Providence Airport
PIE,KPIE,St. Petersburg-Clearwater Intl Airport
PIH,KPIH,Pocatello Regional Airport
PIK,EGPK,Glasgow Prestwick Intl Airport
PIO,SPSO,Pisco
PIR,KPIR,Pierre Regional Airport
PIS,LFBI,Poitiers-Biard Airport
PIT,KPIT,Pittsburgh Intl Airport
PIU,SPUR,Capt Guillermo Concha Iberico
PIW,CZMN,Pikwitonei
PIX,LPPI,Pico Airport
PJA,ESUP,Pajala
PJG,OPPG,Panjgur Airport
PJM,MRPJ,Puerto Jimenez Airport
PKB,KPKB,Mid-Ohio Valley Regional Airport
PKC,UHPP,Yelizovo Airport
PKE,YPKS,Parkes Airport
PKK,VYPU,Pakhokku
PKO,DBBP,Parakou
PKR,VNPK,Pokhara
PKT,YPKT,Port Keats Airport
PKU,WIBB,Sultan Syarif Kasim II Airport
PKV,ULOO,Pskov Airport
PKW,FBSP,Selebi-Phikwe
PKY,WRBP,Tjilik Riwut Airport
PKZ,VLPS,Pakse
PLF,FTTP,Pala
PLH,EGHD,Plymouth City Airport
PLM,WIPP,Sultan Mahmud Badaruddin II Airport
PLN,KPLN,Pellston Regional Airport of Emmet County
PLO,YPLC,Port Lincoln Airport
PLU,SBBH,Pampulha Domestic Airport
PLW,WAML,Mutiara Airport
PLZ,FAPE,Port Elizabeth
PMA,HTPE,Pemba
PMC,SCTE,El Tepual Intl
PMF,LIMP,Parma Airport (G. Verdi Airport)
PMG,SBPP,Ponta Pora Intl Airport
PMI,LEPA,Palma de Mallorca Airport (Son Sant Joan)
PMO,LICJ,Palermo Intl Airport
PMR,NZPM,Palmerston North
PMS,OSPR,Palmyra
PMV,SVMG,Del Caribe Intl Gen Santiago Marino
PMW,SBPJ,Palmas Airport
PMY,SAVY,El Tehuelche Airport
PMZ,MRPM,Palmar Sur Airport
PNA,LEPP,Pamplona Airport
PNH,VDPP,Pochentong Intl
PNI,PTPN,Pohnpei Intl
PNK,WIOO,Supadio Airport
PNL,LICG,Pantelleria Airport
PNQ,VAPO,Pune Airport (Mil./Civil)
PNR,FCPP,A. Neto
PNS,KPNS,Pensacola Regional Airport
PNT,SCNT,Teniente Julio Gallardo
PNY,VOPC,Pondicherry Airport
POA,SBPA,Salgado Filho Intl Airport
POD,GOSP,Podor
POG,FOOG,Port Gentil
POL,FQPB,Pemba
POM,AYPY,Port Moresby Jacksons Intl
PON,MGPP,Poptun Airport
POP,MDPP,Gregorio Luperon Intl Airport
POR,EFPO,Pori Airport
POS,TTPP,Piarco Intl
POW,LJPZ,Portoroz Airport
POX,LFPT,Pontoise - Cormeilles Airport
POZ,EPPO,Poznan-Lawica Airport
PPI,YPIR,Port Pirie Airport
PPN,SKPP,Guillermo Leon Valencia
PPP,YBPN,Proserpine-Whitsunday Coast Airport
PPQ,NZPP,Paraparaumu
PPS,RPVP,Puerto Princesa Airport
PPU,VYPP,Hpapun
PPW,EGEP,Papa Westray Airport
PQC,VVPQ,Duong Dong Airport
PQI,KPQI,Northern Maine Regional Airport
PQQ,YPMQ,Port Macquarie Airport
PRA,SAAP,General Urquiza Airport
PRG,LKPR,Prague Ruzyne Intl Airport
PRH,VTCP,Phrae Airport
PRI,FSPP,Praslin
PRK,FAPK,Prieska
PRM,LPPM,Portimao Airport
PRN,LYPR,Pristina Intl Airport
PRP,LFKO,Tavaria Airport
PRU,VYPY,Pyay
PRY,FAWB,Wonderboom
PSA,LIRP,Galileo Galilei Airport (Pisa Intl Airport)
PSC,KPSC,Tri-Cities Airport
PSD,HEPS,Port Said Airport
PSE,TJPS,Mercedita Airport
PSG,PAPG,Petersburg James A. Johnson Airport
PSI,OPPI,Pasni Airport
PSL,EGPT,Perth Airport (Scotland)
PSM,KPSM,Pease Intl Tradeport Airport
PSO,SKPS,Antonio Narino
PSP,KPSP,Palm Springs Intl Airport
PSR,LIBP,Abruzzo Intl Airport
PSS,SARP,General Jose de San Martin Airport
PSZ,SLPS,Salvador Ogaya
PTG,FAPI,Pietersburg
PTJ,YPOD,Portland Airport
PTM,SVPT,Palmarito
PTP,TFFR,Pointe-a-Pitre Intl Airport
PTX,SKPI,Pitalito
PTY,MPTO,Tocumen Intl
PTZ,SESM,Rio Amazonas
PUF,LFBP,Pau - Pyrenees Airport
PUG,YPAG,Port Augusta Airport
PUI,VEPU,Purnea Airport
PUJ,MDPC,Punta Cana Intl Airport
PUN,FZOP,Punia
PUQ,SCCI,Carlos Ibanez Del Campo Intl
PUS,RKPK,Kimhae Intl
PUU,SKAS,Tres De Mayo
PUW,KPUW,Pullman-Moscow Regional Airport
PUY,LDPL,Pula Airport
PUZ,MNPC,Puerto Cabezas
PVA,SKPV,Providencia
PVC,KPVC,Provincetown Municipal Airport
PVD,KPVD,Theodore Francis Green State Airport
PVG,ZSPD,Shanghai Pudong Intl Airport
PVH,SBPV,Governador Jorge Teixeira de Oliveira Intl Airport
PVK,LGPZ,Aktion National Airport
PVO,SEPV,Reales Tamarindos
PVR,MMPR,Lic. Gustavo Diaz Ordaz Intl Airport
PVS,UHMD,Provideniya Bay Airport
PWE,UHMP,Pevek Airport
PWM,KPWM,Portland Intl Jetport
PWO,FZQC,Pweto
PXM,MMPS,Puerto Escondido Intl Airport
PXO,LPPS,Porto Santo Airport
PXU,VVPK,Pleiku Airport
PYE,NCPY,Tongareva
PYH,SVPA,Puerto Ayacucho
PYJ,UERP,Polyarny Airport
PZA,SKPZ,Paz De Ariporo
PZB,FAPM,Pietermaritzburg
PZH,OPZB,Zhob Airport
PZU,HSPN,Port Sudan
PZY,LZPP,Piestany Airport
QBC,CYBD,Bella Coola
QBG,LYPA,Pancevo Airport
QBQ,LFQM,Besancon - La Veze Airport
QGY,LHPR,Gyor-P
QHI,VTBS,Sattahip Airport
QKX,ENKA,Kautokeino Airport
QLA,EGHL,Lasham Airfield
QLT,LIRL,Latina Airport
QND,LYNS,Novi Sad Airport
QPD,MUPR,Pinar del R
QPW,BGKA,Kangaatsiaq Airport
QRA,FAGM,Rand
QRC,SCRG,De La Independencia
QRM,YNRM,Narromine Airport
QRO,MMQT,Ing. Fernando Espinoza Gutierrez Intl Airport
QRR,YWRN,Warren Airport
QRV,LFQD,Arras - Roclincourt Airport
QSA,LELL,Sabadell Airport
QSN,MUNB,San Nicolas de Bari Airport
QUN,RKNC,A-306
QWV,LYVA,Valjevo Airport
RAB,AYRB,Rabaul
RAE,OERR,Arar Domestic Airport
RAG,NZRA,Raglan
RAH,OERF,Rafha Domestic Airport
RAI,GVFM,Francisco Mendes
RAJ,VARK,Rajkot Airport
RAK,GMMX,Menara
RAN,LIDR,Ravenna Airport
RAO,SBRP,Leite Lopes Airport
RAP,KRAP,Rapid City Regional Airport
RAR,NCRG,Rarotonga Intl
RAS,OIGG,Rasht Airport
RAV,SKCN,Cravo Norte
RAZ,OPRT,Rawalakot Airport
RBA,GMME,Sale
RBC,YROI,Robinvale Airport
RBJ,RJCR,Rebun Airport
RBO,SLRB,Robore
RBQ,SLRQ,Rurrenabaque
RBR,SBRB,Presidente Medici Airport
RBS,YORB,Orbost Airport
RBT,HKMB,Marsabit
RCB,FARB,Richards Bay
RCH,SKRH,Almirante Padilla
RCL,YRED,Redcliffe Airport
RCO,LFDN,Rochefort - St Agnant Airport
RCQ,SATR,Daniel Jurkic Airport
RCS,EGTO,"Rochester Airport, England"
RCU,SAOC,Las Higueras Airport
RDD,KRDD,Redding Municipal Airport
RDG,KRDG,Reading Regional Airport (Carl A. Spaatz Field)
RDM,KRDM,Redmond Municipal Airport (Roberts Field)
RDT,GOSR,Richard Toll
RDU,KRDU,Raleigh-Durham Intl Airport
RDZ,LFCR,Rodez - Marcillac Airport
REC,SBRF,Guararapes Intl Airport
REG,LICR,Reggio Calabria Airport
REN,UWOO,Tsentralny Airport
REP,VDSR,Siem Reap
RER,MGRT,Retalhuleu Airport (Civil/Mil.)
RES,SARE,Resistencia Intl Airport
RET,ENRS,Rost Airport
REU,LERS,Reus Airport
REX,MMRX,General Lucio Blanco Intl Airport
REY,SLRY,Reyes
RFN,BIRG,Raufarhofn Airport
RFP,NTTR,Raiatea Airport
RGA,SAWE,Hermes Quijada Airport
RGH,VEBG,Balurghat Airport
RGI,NTTG,Rangiroa Airport
RGL,SAWG,Piloto Civil N. Fernandez Airport
RGN,VYYY,Yangon Intl
RHE,LFSR,Reims - Champagne Airport
RHG,HRYU,Ruhengeri
RHI,KRHI,Rhinelander-Oneida County Airport
RHO,LGRP,Rhodes Intl Airport (Diagoras)
RHP,VNRC,Ramechhap
RIB,SLRI,Cap De Av Selin Zeitun Lopez
RIC,KRIC,Richmond Intl Airport
RIJ,SPJA,Rioja
RIK,MRCR,Carrillo Airport
RIM,SPLN,San Nicolas
RIS,RJER,Rishiri Airport
RIW,KRIW,Riverton Regional Airport
RIX,EVRA,Riga Intl Airport
RIY,OYRN,Riyan
RJA,VORY,Rajahmundry Airport
RJB,VNRB,Rajbiraj
RJH,VGRJ,Rajshahi Airport
RJK,LDRI,Rijeka Airport
RJL,LELO,Logrono-Agoncillo Airport
RJN,OIKR,Rafsanjan Airport
RKD,KRKD,Knox County Regional Airport
RKE,EKRK,Copenhagen Roskilde Airport
RKT,OMRK,Khaimah Intl
RKV,BIRK,Reykjavik Airport
RLG,ETNL,Rostock-Laage (Mil./Civil)
RMA,YROM,Roma Airport
RMF,HEMA,Marsa Alam Intl Airport
RMI,LIPR,Federico Fellini Intl Airport
RMK,YREN,Renmark Airport
RML,VCCC,Ratmalana
RNB,ESDF,Ronneby
RNE,LFLO,Roanne - Renaison Airport
RNJ,RORY,Yoron Airport
RNN,EKRN,Ronne Bornholm Airport
RNO,KRNO,Reno/Tahoe Intl Airport
RNS,LFRN,Rennes - Saint-Jacques Airport
ROA,KROA,Roanoke Regional Airport (Woodrum Field)
ROB,GLRB,Roberts Intl
ROC,KROC,Greater Rochester Intl Airport
ROD,FARS,Robertson
ROK,YBRK,Rockhampton Airport
ROP,PGRO,Rota Island
ROR,PTRO,Babelthuap/Koror
ROR,PTRO,Koror - Babelthuap Airport
ROS,SAAR,Rosario Intl Airport
ROT,NZRO,Rotorua
ROV,URRR,Rostov-na-Donu Airport
RPM,YNGU,Ngukurr Airport
RPN,LLIB,Rosh Pina Airport (Ben Ya'aqov Airport)
RPR,VARP,Swami Vivekananda Airport
RRG,FIMR,Plaine Corail
RRK,VERK,Rourkela Airport
RRS,ENRO,Roros Airport
RSA,SAZR,Santa Rosa Airport
RSD,MYER,Rock Sound Intl Airport
RST,KRST,Rochester Intl Airport
RSU,RKJY,Yeosu
RSW,KRSW,Southwest Florida Intl Airport
RTA,NFNR,Rotuma
RTB,MHRO,Roatan Intl
RTM,EHRD,Rotterdam Airport
RTS,YRTI,Rottnest Island Airport
RTW,UWSS,Tsentralny Airport
RUA,HUAR,Arua
RUH,OERK,King Khalid Intl Airport
RUK,VNRK,Rukumkot
RUM,VNRT,Rumjatar
RUN,FMEE,St Denis Gillot
RUP,VERU,Rupsi Airport
RUV,MGRB,Rubelsanto Airport
RVA,FMSG,Farafangana
RVE,SKSA,Los Colonizadores
RVK,ENRM,Rorvik Airport
RVN,EFRO,Rovaniemi Airport
RVO,FARI,Reivilo
RVY,SURV,Rivera Intl
RWN,UKLR,Rivne Airport
RXS,RPVR,Roxas Airport
RYG,ENRY,"Moss Airport, Rygge"
RYK,OPRK,Shaikh Zayed Intl Airport
RYN,LFCY,Royan - Medis Airport
RZE,EPRZ,Rzeszow-Jasionka Airport
RZR,OINR,Ramsar Airport
SAA,RPVG,Guiuan Airport
SAB,TNCS,Juancho E. Yrausquin Airport
SAF,KSAF,Santa Fe Municipal Airport
SAH,OYSN,Sanaa Intl
SAK,BIKR,Alexander Airport
SAN,KSAN,San Diego Intl Airport
SAP,MHLM,La Mesa Intl
SAQ,MYAN,San Andros Airport
SAT,KSAT,San Antonio Intl Airport
SAV,KSAV,Savannah/Hilton Head Intl Airport
SAW,LTFJ,Istanbul Sabiha Gokcen Intl Airport
SAW,KSAW,Sawyer Intl Airport (IATA code: MQT)
SAY,LIQS,Siena Airport
SBA,KSBA,Santa Barbara Municipal Airport
SBH,TFFJ,Saint-Barthelemy Airport
SBI,GUSB,Sambailo
SBK,LFRT,Saint-Brieuc - Armor Airport
SBN,KSBN,South Bend Regional Airport
SBP,KSBP,San Luis Obispo County Regional Airport (McChesney Field)
SBQ,OPSB,Sibi Airport
SBU,FASB,Springbok
SBY,KSBY,Salisbury-Ocean City Wicomico Regional Airport
SBZ,LRSB,Sibiu Intl Airport
SCC,PASC,Deadhorse Airport
SCI,SVPM,Paramillo
SCK,KSCK,Stockton Metropolitan Airport
SCL,SCEL,Arturo Merino Benitez Intl
SCN,EDDR,Saarbrucken
SCQ,LEST,Santiago Airport
SCS,EGPM,Scatsta Airport
SCT,OYSQ,Moori
SCU,MUCU,Antonio Maceo Intl Airport
SCV,LRSV,Suceava Airport
SCW,UUYY,Syktyvkar Airport
SCY,SEST,San Cristobal
SDB,FALW,Langebaanweg Ab
SDD,FNUB,Lubango
SDE,SANE,Vicecomodoro Aragonez Airport
SDF,KSDF,Louisville Intl Airport (Standiford Field)
SDG,OICS,Sanandaj Airport
SDJ,RJSS,Sendai Airport
SDK,WBKS,Sandakan
SDL,ESNN,Sundsvall - Harnosand
SDN,ENSD,Sandane Airport
SDQ,MDSD,Las Americas-JFPG Intl Airport
SDR,LEXJ,Santander Airport
SDS,RJSD,Sado Airport
SDT,OPSS,Saidu Sharif Airport
SDU,SBRJ,Santos Dumont Regional Airport
SDV,LLSD,Sde Dov Airport (Dov Hoz Airport)
SDY,KSDY,Sidney-Richland Municipal Airport
SEA,KSEA,Seattle-Tacoma Intl Airport
SEB,HLLS,Sebha
SEL,RKSS,Kimpo Intl
SEN,EGMC,London Southend Airport
SEU,HTSN,Seronera
SEY,GQNS,Selibabi
SEZ,FSIA,Seychelles Intl
SFA,DTTX,Thyna
SFB,KSFB,Orlando Sanford Intl Airport
SFC,TFFC,Saint-Francois Airport
SFD,SVSR,San Fernando De Apure
SFE,RPUS,San Fernando Airport
SFG,TFFG,Grand Case Airport
SFI,GMMS,Safi
